nombre,direccion,latitud,longitud,tipo_cocina,nivel_precio,rating,num_resenas,zona,ingreso_median,estatus,notas
JOEY Eau Claire,"208 Barclay Parade SW, Market #200, Calgary, AB T2P 4R5, Canada",51.052113,-114.0692817,Restaurant,2,4.8,6513,Downtown,51200,Prospecto,
Ten Foot Henry,"1209 1 St SW, Calgary, AB T2R 0V3, Canada",51.0410718,-114.0659836,Restaurant,2,4.7,3883,Downtown,51200,Prospecto,
The Rooftop YYC,"414 3 St SW, Calgary, AB T2P 1R2, Canada",51.0489044,-114.0698623,Restaurant,2,4.5,1884,Downtown,51200,Prospecto,
Orchard Restaurant,"620 10 Ave SW #134, Calgary, AB T2R 1C3, Canada",51.0438618,-114.0757173,"Mediterranean, Brunch, Asian Fusion, Asian, Fusion",,4.4,1318,Beltline,71000,Prospecto,
Salt & Brick - Calgary,"211 10 Ave SW, Calgary, AB T2R 0A4, Canada",51.0431854,-114.0663809,Restaurant,,4.5,560,Beltline,71000,Prospecto,
Luca Restaurant,"524 10 Ave SW, Calgary, AB T2R 1L1, Canada",51.0437915,-114.0725442,Restaurant,,4.6,655,Beltline,71000,Prospecto,
CHARCUT,"899 Centre St S, Calgary, AB T2P 1B4, Canada",51.0449966,-114.0632415,Steak House,3,4.2,1635,East Village,68000,Prospecto,
River Café,"25 Prince's Island Park, SW, Calgary, AB T2P 0R1, Canada",51.0548386,-114.0716369,Wine Bar,3,4.3,2080,Downtown,51200,Prospecto,
Vintage Chophouse and Tavern,"320 11 Ave SW, Calgary, AB T2R 1R4, Canada",51.042678,-114.068379,Steak House,3,4.6,2223,Beltline,71000,Prospecto,
First Street Market: Food Hall & Bar,"1327 1 St SW #6, Calgary, AB T2R 1C9, Canada",51.0400733,-114.0662765,Food Court,2,4.6,867,Beltline,71000,Prospecto,
Fonda Fora,"630 4 Ave SW, Calgary, AB T2P 0G6, Canada",51.0498101,-114.0752137,Restaurant,,4.3,977,Downtown,51200,Prospecto,
Caesar's Steak House & Lounge,"512 4 Ave SW, Calgary, AB T2P 0J7, Canada",51.0497889,-114.0723722,Fine Dining,3,4.5,2375,Downtown,51200,Prospecto,
Central Restaurants - Calgary Beltline,"224 12 Ave SW #110, Calgary, AB T2R 0X5, Canada",51.0417968,-114.0674313,Restaurant,2,4.6,1008,Beltline,71000,Prospecto,
Moxies Calgary Downtown Restaurant,"888 7 Ave SW, Calgary, AB T2P 3J3, Canada",51.047114,-114.0808219,Bar And Grill,2,4.4,2301,Downtown,51200,Prospecto,
SALTLIK Calgary.,"101 8 Ave SW SW, Calgary, AB T2P 1B4, Canada",51.0452993,-114.0633359,Restaurant,3,4.5,2934,Downtown,51200,Prospecto,
"Brix + Barrel | Calgary, Alberta","351 4 Ave SW, Calgary, AB T2P 0H9, Canada",51.0493041,-114.0694927,Restaurant,,4.8,400,Downtown,51200,Prospecto,
